ANTIMICROBIAL PROTEIN/IMMUNE SYSTEM	2	7Y8J-A-H, 7Y8J-A-L
ANTITOXIN	13	3HRY-C-A, 3HRY-C-B, 8U12-C-D, 8U12-H-D, 8U12-A-F, 8U12-B-F, 8U12-E-F, 8U12-H-F, 8U12-A-G, 8U12-B-G, 8U12-C-G, 8U12-E-G, 8U12-H-G
ANTITOXIN/TOXIN	1	6L8G-A-B
ANTITUMOR PROTEIN	110	1T15-B-A, 1T2V-F-A, 1T2V-J-A, 1T2V-G-B, 1T2V-H-B, 1T2V-J-B, 1T2V-G-C, 1T2V-H-C, 1T2V-I-D, 1T2V-F-E, 1T2V-J-E, 1Y98-B-A, 4Y18-I-A, 4Y18-J-A, 4Y18-I-B, 4Y18-J-B, 4Y18-K-C, 4Y18-L-D, 4Y18-M-E, 4Y18-N-F, 4Y18-O-G, 4Y18-P-G, 4Y18-I-H, 4Y18-O-H, 4Y18-P-H, 4Y2G-B-A, 5ECG-F-C, 5ECG-E-D, 5MHC-P-A, 5MXO-P-A, 5MOC-P-A, 6MRY-D-A, 6MRY-E-A, 6MRY-G-A, 6MRY-L-A, 6MRY-C-B, 6MRY-D-B, 6MRY-E-B, 6MRY-F-B, 6MRY-G-B, 6MRY-I-B, 6MRY-C-K, 6MRY-D-K, 6MRY-F-K, 6MRY-G-K, 6MRY-H-K, 6MRY-I-K, 6TGG-P-H, 7RJF-B-A, 7SJQ-D-A, 8EK5-C-A, 8EK5-C-E, 8ARI-a-A, 8ARI-a-B, 8ARI-b-C, 8ARI-b-D, 8ARI-b-E, 8ARI-c-E, 8ARI-b-F, 8ARI-c-F, 8ARI-a-G, 8ARI-d-G, 8ARI-a-H, 8ARI-d-H, 8ARI-c-I, 8ARI-e-I, 8ARI-c-J, 8ARI-e-J, 8ARI-d-K, 8ARI-f-K, 8ARI-d-L, 8ARI-f-L, 8ARI-f-M, 8ARI-g-M, 8ARI-f-N, 8ARI-g-N, 8ARI-e-O, 8ARI-h-O, 8ARI-e-P, 8ARI-h-P, 8ARI-h-Q, 8ARI-i-Q, 8ARI-h-R, 8ARI-i-R, 8ARI-g-S, 8ARI-j-S, 8ARI-g-T, 8ARI-j-T, 8ARI-i-U, 8ARI-i-V, 8ARI-j-W, 8ARI-j-X, 8DS7-M-L, 8DS7-M-H, 9BKD-U-L, 9BKD-F-D, 9BKD-F-E, 9BKD-U-Z, 9FQL-C-A, 9FQL-D-A, 9FQL-C-B, 9FQL-D-B, 9FQL-G-E, 9FQL-H-E, 9FQL-G-F, 9FQL-H-F, 9FQL-K-F, 9FQL-C-I, 9FQL-K-I, 9FQL-L-J
ANTITUMOR PROTEIN, APOPTOSIS	1	2QIC-B-A
ANTITUMOR PROTEIN/LIGASE	17	3COJ-H-X, 3COJ-L-X, 3COJ-H-A, 3COJ-I-A, 3COJ-J-A, 3COJ-I-B, 3COJ-J-B, 3COJ-M-B, 3COJ-J-C, 3COJ-K-C, 3COJ-L-D, 3COJ-M-E, 3COJ-I-F, 3COJ-N-F, 3COJ-O-F, 3COJ-N-G, 3COJ-O-G
ANTITUMOR PROTEIN/PROTEIN BINDING	1	3TVT-B-A
ANTITUMOR PROTEIN/SIGNALING PROTEIN	4	4JLU-B-A, 4U4A-D-A, 4U4A-E-B, 4U4A-F-C
ANTIVIRAL PROTEIN	58	5LZ3-B-A, 5LZ6-B-A, 6NYX-B-H, 6NYX-G-H, 6NYX-O-H, 6NRO-E-A, 6NRO-C-A, 6NRO-B-A, 6NRO-F-A, 6S0Y-C-A, 6S0Y-C-B, 6S0Y-D-B, 7YUE-C-A, 7ZV7-B-A, 7X6Y-B-A, 7ZR2-B-A, 7W0Q-B-A, 7X70-B-A, 7W0T-A-F, 7W0T-A-C, 7W0T-E-C, 7W0T-D-B, 7ZV5-B-A, 7X6Z-B-A, 7ZV8-C-A, 7ZV8-D-A, 7ZV8-C-B, 7ZV8-D-B, 7W0S-A-B, 7W0S-F-B, 7W0S-D-C, 7W0S-F-E, 7RPU-P-A, 7RPU-P-B, 8WFN-F-E, 8WFN-H-E, 8WFN-F-G, 8WFN-H-G, 8D47-C-L, 8D47-D-A, 8D47-C-H, 8D47-D-B, 8H3C-F-B, 8H3C-G-B, 8H3C-F-D, 8H3C-G-D, 8IB1-C-A, 8IB1-C-B, 9LDS-B-A, 9LDS-D-C, 9UL1-C-A, 9FCM-D-A, 9FCM-E-A, 9FCM-D-B, 9FCM-E-B, 9FCM-F-B, 9FCM-D-C, 9FCM-F-C
ANTIVIRAL PROTEIN, IMMUNE SYSTEM	10	7M55-A-H, 7M55-A-L, 7M51-A-H, 7M51-A-L, 7RNJ-B-L, 7RNJ-B-H, 7M52-A-H, 7M52-A-L, 7M53-A-H, 7M53-A-L
